Character,Betweenness Centrality,PageRank,Degree
Gared,0.00027223614020354655,0.0005955372519955463,0.019011406844106463
Waymar Royce,0.00016812558344304313,0.0005110666465235458,0.015209125475285171
Jeor Mormont,0.020061284674827214,0.0062026106052823615,0.09505703422053231
Aemon Targaryen,0.014306683672858585,0.004455553118474776,0.0817490494296578
Bran Stark,0.027868462811570325,0.013059370960434729,0.1520912547528517
Mance Rayder,0.014549683714907311,0.004485189573672837,0.08555133079847908
Robb Stark,0.03333798895562296,0.018140576041297353,0.21863117870722434
Old Nan,0.0002860953204265952,0.0017574143435392367,0.034220532319391636
Jon Snow,0.11387762488886209,0.02430654619332882,0.23193916349809887
Eddard Stark,0.042291205635717234,0.018514012079941553,0.20722433460076045
Theon Greyjoy,0.04608506968689647,0.009531969786501815,0.188212927756654
Jory Cassel,0.0029593390773242577,0.002089897591584001,0.06463878326996197
Hullen,0.00012511476413954687,0.0012008882922691223,0.039923954372623575
Harwin,0.004083654159340654,0.002493288913073531,0.07604562737642585
Rodrik Cassel,0.008975595507584613,0.0034230425596373615,0.11596958174904944
Rickon Stark,0.0023231539538331584,0.006268653923724719,0.06844106463878327
Desmond,0.0004402365682162314,0.0011299088554566992,0.049429657794676805
Catelyn Stark,0.07154471891943884,0.018248815716733535,0.26806083650190116
Arya Stark,0.05583976072887098,0.016031809744353424,0.1806083650190114
Sansa Stark,0.02782734685218469,0.015659171275831614,0.21102661596958175
Benjen Stark,0.004165434144203715,0.0034241247083178707,0.060836501901140684
Maester Luwin,0.005375586145959894,0.003476813335035667,0.08555133079847908
Jon Arryn,0.003876984923952649,0.0038319562015286953,0.06844106463878327
Robert Baratheon,0.030646755549462362,0.013937615019859738,0.1634980988593156
Aerys II Targaryen,0.013025094011451245,0.0058195344502360025,0.08365019011406843
Hoster Tully,0.004648234823470601,0.004110763347597226,0.06273764258555133
Maester Pycelle,0.012313098565027459,0.004729035795898728,0.1596958174904943
Robert Arryn,0.0016537702905920634,0.0022110674295296815,0.058935361216730035
Lysa Arryn,0.0016844518566097569,0.004749942679786647,0.06653992395437262
Brynden Tully,0.004530315331971166,0.00336371332163222,0.10646387832699619
Cersei Lannister,0.03827973671245372,0.0211432642656137,0.23574144486692014
Tommen Baratheon,0.010057138025688231,0.0077346755372989205,0.14258555133079848
Daenerys Targaryen,0.01738808052050143,0.01057469014174906,0.10076045627376426
Illyrio Mopatis,0.002199333279707631,0.001716480438824683,0.034220532319391636
Viserys Targaryen,0.010248101760733775,0.003597105757944813,0.057034220532319393
Drogo,0.002693231676291836,0.0030138206130431527,0.034220532319391636
Rhaegar Targaryen,0.008197731986222489,0.004191129251331383,0.06653992395437262
Tywin Lannister,0.03950860531741388,0.013857765360076732,0.21863117870722434
Elia Targaryen,0.002409888544564188,0.00230472145352845,0.045627376425855515
